CD_TYPO;CD_SIG_TERR
7;TERFXFR
104;TERFXFR
8;TERFXFR
3;TERFXFR
22;TERFXFR
16;TERFXFR
17;TERFXFR
18;TERFXFR
28;TERFXFR
32;TERFXFR
26;TER974
26;TER973
26;TER971
26;TER972
45;TERFXFR
46;TERFXFR
35;TER975
5;TER986
5;TER984B
5;TER978
5;TER977
5;TER987
5;TER988
5;TER976
5;TER972
5;TER974
5;TER971
5;TER989
70;TER978
70;TER977
70;TER972
70;TER971
108;TER972
71;TER973
6;TERFXFR
100;TERFXFR
80;TER972
88;TER976
89;TER978
89;TER977
89;TER972
89;TER971
90;TER971
78;TER974
91;TERFXFR
79;TER973
95;TER975
97;TER989
93;TER984B
99;TER988
99;TER986
96;TER973
94;TER976
72;TER974
92;TER984B
107;TERFXFR
4;TERFXFR
